,fid,STATEFP,COUNTYFP,TRACTCE,BLKGRPCE,AFFGEOID,GEOID,NAME,LSAD,ALAND,AWATER,median_12
0,1,22,25,100,3,1500000US220250001003,220250001003,3,BG,494214717,7228455,
1,2,22,1,960900,3,1500000US220019609003,220019609003,3,BG,1407866,0,
2,3,22,71,14200,3,1500000US220710142003,220710142003,3,BG,83472,0,0.0
3,4,22,71,11700,1,1500000US220710117001,220710117001,1,BG,214670,0,0.0
4,5,22,51,22301,2,1500000US220510223012,220510223012,2,BG,364688,0,0.0
5,6,22,71,6500,1,1500000US220710065001,220710065001,1,BG,392206,0,0.0
6,7,22,73,1700,3,1500000US220730017003,220730017003,3,BG,1173460,0,
7,8,22,17,23903,3,1500000US220170239033,220170239033,3,BG,5675296,27844,
8,9,22,39,950200,2,1500000US220399502002,220399502002,2,BG,399484181,6881027,-9998.0
9,10,22,33,2300,1,1500000US220330023001,220330023001,1,BG,585318,0,
10,11,22,79,12301,1,1500000US220790123011,220790123011,1,BG,4960568,0,
11,12,22,51,25202,2,1500000US220510252022,220510252022,2,BG,426544,0,0.0
12,13,22,51,24300,2,1500000US220510243002,220510243002,2,BG,806615,0,0.0
13,14,22,15,10701,3,1500000US220150107013,220150107013,3,BG,470481,0,
14,15,22,51,25300,1,1500000US220510253001,220510253001,1,BG,288350,0,0.0
15,16,22,73,1500,2,1500000US220730015002,220730015002,2,BG,860676,0,
16,17,22,9,30600,5,1500000US220090306005,220090306005,5,BG,4675818,90713,
17,18,22,79,11000,2,1500000US220790110002,220790110002,2,BG,285603,0,
18,19,22,33,4508,4,1500000US220330045084,220330045084,4,BG,1835371,0,-9998.0
19,20,22,87,30208,2,1500000US220870302082,220870302082,2,BG,3063443,93656,0.939999997615814
20,21,22,51,22600,1,1500000US220510226001,220510226001,1,BG,460747,0,0.0
21,22,22,97,961500,2,1500000US220979615002,220979615002,2,BG,614142,0,
22,23,22,69,400,4,1500000US220690004004,220690004004,4,BG,1419566,103512,
23,24,22,51,26200,1,1500000US220510262001,220510262001,1,BG,1901303,165661,0.0
24,25,22,51,25500,2,1500000US220510255002,220510255002,2,BG,421049,0,0.0
25,26,22,55,1100,3,1500000US220550011003,220550011003,3,BG,1241044,0,
26,27,22,17,22000,2,1500000US220170220002,220170220002,2,BG,834805,0,
27,28,22,71,5602,3,1500000US220710056023,220710056023,3,BG,369632,0,0.0
28,29,22,119,31300,2,1500000US221190313002,221190313002,2,BG,2295060,6356,
29,30,22,1,961000,6,1500000US220019610006,220019610006,6,BG,572443,0,
30,31,22,17,21200,4,1500000US220170212004,220170212004,4,BG,406449,0,
31,32,22,45,30800,3,1500000US220450308003,220450308003,3,BG,253814,0,0.0
32,33,22,89,62700,3,1500000US220890627003,220890627003,3,BG,19497578,1949140,0.0
33,34,22,115,950400,2,1500000US221159504002,221159504002,2,BG,1534552,0,
34,35,22,71,9100,2,1500000US220710091002,220710091002,2,BG,82003,0,0.0
35,36,22,17,22100,6,1500000US220170221006,220170221006,6,BG,1002382,0,
36,37,22,33,400,2,1500000US220330004002,220330004002,2,BG,480965,0,
37,38,22,45,30100,5,1500000US220450301005,220450301005,5,BG,826313,33837,0.0
38,39,22,51,27804,1,1500000US220510278041,220510278041,1,BG,994420,28703,0.0
39,40,22,105,953700,1,1500000US221059537001,221059537001,1,BG,87729207,822664,-9998.0
40,41,22,51,27902,1,1500000US220510279021,220510279021,1,BG,270247595,365485766,-9998.0
41,42,22,57,21200,2,1500000US220570212002,220570212002,2,BG,305352988,404952272,-9998.0
42,43,22,71,2504,2,1500000US220710025042,220710025042,2,BG,209284,0,0.0
43,44,22,55,604,3,1500000US220550006043,220550006043,3,BG,1121509,0,
44,45,22,71,2300,1,1500000US220710023001,220710023001,1,BG,179504,0,0.0
45,46,22,71,605,3,1500000US220710006053,220710006053,3,BG,985072,508819,0.0
46,47,22,71,13100,4,1500000US220710131004,220710131004,4,BG,80206,0,0.0
47,48,22,69,100,2,1500000US220690001002,220690001002,2,BG,242480391,30362200,
48,49,22,55,1405,2,1500000US220550014052,220550014052,2,BG,392449,0,
49,50,22,13,970500,3,1500000US220139705003,220139705003,3,BG,241221873,2635505,
50,51,22,55,1409,3,1500000US220550014093,220550014093,3,BG,4186235,0,
51,52,22,51,27807,3,1500000US220510278073,220510278073,3,BG,1268328,0,0.0
52,53,22,71,1745,2,1500000US220710017452,220710017452,2,BG,593953,0,0.0
53,54,22,53,600,1,1500000US220530006001,220530006001,1,BG,6017941,0,0.0
54,55,22,51,22101,1,1500000US220510221011,220510221011,1,BG,593211,0,0.0
55,56,22,71,11900,3,1500000US220710119003,220710119003,3,BG,191108,0,0.0
56,57,22,51,27100,3,1500000US220510271003,220510271003,3,BG,1436992,85371,0.0
57,58,22,51,20102,2,1500000US220510201022,220510201022,2,BG,569264,210368,0.0
